text,label
"Your electric bill is $74.10, due April 2. Pay in the app or by mail.",safe
"Your tax refund of $899 is pending. Verify your bank details to claim it: refund-gov.top",scam
"UPS: your parcel is on hold. A $1.50 fee is due. Confirm here: ups-redeliver-fee.co/4534",scam
"Lyft: your driver Sara is arriving in a blue Civic, plate XJK-2214.",safe
"Reminder: your appointment with Dr. Ruiz is Monday at 9am. Reply C to confirm.",safe
"Your table for 2 at the Italian place is confirmed for 6:30 tonight.",safe
"Lyft: your driver Tom is arriving in a blue Civic, plate XJK-2214.",safe
"Work from home, earn $800 a day, no experience. Apply now on WhatsApp.",scam
"Your prescription is ready for pickup at Walgreens pharmacy #611.",safe
"Reminder: your appointment with Dr. Kim is Monday at 10:30am. Reply C to confirm.",safe
"PayPal: your payment failed. Update your billing at disney+-account-verify.top to avoid cancellation.",scam
"DHL: your parcel is on hold. A $0.99 fee is due. Confirm here: fedex-redeliver-fee.co/1055",scam
"Grandma it's me, I'm in an accident and need $1,450 for the doctor. Please don't tell mom or dad.",scam
"Jury duty: report Monday 8:30am, room 210.",safe
"Sorry, wrong number! But you seem nice. Where are you from? I'm Amy, nice to meet a new friend :)",scam
"This is your grandson. My phone broke, this is my new number. Can you send $500 by Cash App? I'll explain later.",scam
"You have won a $500 Costco prize! Claim now with a small processing fee.",scam
"Amazon: your order #490-4224465 has shipped. Arriving Tuesday.",safe
"Costco: your payment failed. Update your billing at costco-account-verify.top to avoid cancellation.",scam
"Sorry, wrong number! But you seem nice. Where are you from? I'm Amy, nice to meet a new friend :)",scam
"Send me the 6 digit code you just received to verify your identity.",scam
"DHL: your package was delivered at 2:14pm. Track more at usps.com.",safe
"Your United flight is on time at 10:15am tomorrow.",safe
"Your prescription is ready for pickup at Rite Aid pharmacy #497.",safe
"Netflix: a new device signed in. If this was you, no action is needed.",safe
"Hi it's Carol, are we still on for lunch Friday?",safe
"Apple: your payment failed. Update your billing at costco-account-verify.co to avoid cancellation.",scam
"Microsoft support: viruses were detected on your computer. Install TeamViewer so our technician can fix it.",scam
"Grandma it's me, I'm in the hospital and need $1,299 for the doctor. Please don't tell mom or dad.",scam
"Reminder from the YMCA: the flu clinic Mon/Wed 9am.",safe
"Your table for 2 at Olive Garden is confirmed for 7:00 tonight.",safe
"Reminder: your appointment with Dr. Kim is Monday at 10:30am. Reply C to confirm.",safe
"Hi Mom, running 10 minutes late for lunch, see you soon!",safe
"Your Wells Fargo verification code is 558607. Do not share this code with anyone.",safe
"Hi Grandpa, running 15 minutes late for the movie, see you soon!",safe
"Your account is locked. Buy a $500 Apple gift card and send the code to release it.",scam
"Hi dear, I feel such a connection with you. Let me teach you about crypto trading, I made $1,450 last week. Message me on Telegram.",scam
"Your table for 4 at Panera is confirmed for 7:00 tonight.",safe
"Walmart: your order #810-8284861 has shipped. Arriving Tuesday.",safe
"School closed tomorrow due to ice. All after-school activities canceled.",safe
"Your United flight is on time at 10:15am tomorrow.",safe
"Church choir practice moved to Saturday 5pm, bring your famous casserole!",safe
"Hi Mom, running 15 minutes late for lunch, see you soon!",safe
"School closed tomorrow due to snow. All after-school activities canceled.",safe
"Hi it's Carol, are we still on for lunch Friday?",safe
"Your table for 2 at Panera is confirmed for 7:00 tonight.",safe
"Reminder from the YMCA: water aerobics Mon/Wed 9am.",safe
"This is the PNC fraud department. To keep your money safe we need to move it to a secure account right away.",scam
"Thanks for your payment of $2,000 to PSE&G. Payment received.",safe
"Work from home, earn $500 a day, no experience. Apply now on WhatsApp.",scam
"Bank of America Fraud: did you authorize a $1,299 charge? Reply NO or call 415-555-0554 to dispute.",scam
"PayPal: your order #763-7662923 has shipped. Arriving Thursday.",safe
"Your gas bill is $118.22, due March 15. Pay in the app or by mail.",safe
"We can recover the money you lost to a scam. Our firm needs a $300 retainer first.",scam
"This is the Chase fraud department. To keep your money safe we need to move it to a secure account right away.",scam
"Church bible study moved to Wednesday 7pm, bring your famous casserole!",safe
"Amazon: your order #138-4123436 has shipped. Arriving Tuesday.",safe
"Medicare: your benefits is suspended. Call immediately or a warrant will be issued.",scam
"DMV: your registration renewal was processed.",safe
"Toll notice: you have an unpaid balance of $1.95. Pay now to avoid a late fee: ezpass-billing.top",scam
"Hi dear, I feel such a connection with you. Let me teach you about crypto trading, I made $1,450 last week. Message me on WhatsApp.",scam
"Grandma it's me, I'm in jail and need $2,000 for a lawyer. Please don't tell mom or dad.",scam
"Your account is locked. Buy a $500 Google Play gift card and send the code to release it.",scam
"Toll notice: you have an unpaid balance of $3.20. Pay now to avoid a late fee: ezpass-billing.xyz",scam
"Your TD Bank verification code is 390276. Do not share this code with anyone.",safe
"Medicare: your SSN is suspended. Call immediately or a warrant will be issued.",scam
"Spotify: your order #908-2263181 has shipped. Arriving Thursday.",safe
"Your PNC verification code is 148581. Do not share this code with anyone.",safe
"Netflix: a new device signed in. If this was you, no action is needed.",safe
"UPS: your package was delivered at 4:47pm. Track more at ups.com.",safe
"Your prescription is ready for pickup at Rite Aid pharmacy #652.",safe
"Your account is locked. Buy a $100 Apple gift card and send the code to release it.",scam
"You have won a $1000 Walmart prize! Claim now with a small processing fee.",scam
"Reminder from the YMCA: choir practice Mon/Wed 9am.",safe
"Hi it's Sarah, are we still on for coffee Friday?",safe
"Reminder from Trinity Church: the flu clinic Mon/Wed 9am.",safe
"Hi it's Mike, are we still on for coffee Thursday?",safe
"Netflix: your payment failed. Update your billing at apple-account-verify.xyz to avoid cancellation.",scam
"Thanks for your payment of $2,000 to Verizon. Payment received.",safe
"Hi Grandma, running 10 minutes late for lunch, see you soon!",safe
"FedEx: your parcel is on hold. A $2.99 fee is due. Confirm here: dhl-redeliver-fee.co/8359",scam
"Medicare: your SSN is suspended. Call immediately or a warrant will be issued.",scam
"Zelle: you received $50.00 from Aunt Carol. It's in your account.",safe
"Thanks for your payment of $750 to PSE&G. Payment received.",safe
"UPS: your package was delivered at 4:47pm. Track more at usps.com.",safe
"Lyft: your driver Miguel is arriving in a white Camry, plate LPR-8830.",safe
"Your tax refund of $2,000 is pending. Verify your bank details to claim it: refund-gov.xyz",scam
"Walmart: your order #357-2701562 has shipped. Arriving Tuesday.",safe
"You have won a Publishers Clearing House gift! Claim now with a small processing fee.",scam
"Reminder: your appointment with Dr. Kim is Thursday at 2pm. Reply C to confirm.",safe
"Coinbase support: to restore access, confirm your wallet seed phrase with our agent.",scam
"Your table for 2 at the Italian place is confirmed for 6:30 tonight.",safe
"Medicare: your SSN is suspended. Call immediately or a warrant will be issued.",scam
"Your United flight is on time at 10:15am tomorrow.",safe
"Hi it's Mike, are we still on for coffee Friday?",safe
"We can recover the money you lost to a scam. Our firm needs a $500 retainer first.",scam
"Your account is locked. Buy a $100 Google Play gift card and send the code to release it.",scam
"Your account is locked. Buy a $100 Vanilla gift card and send the code to release it.",scam
"IRS: your account is suspended. Call immediately or a warrant will be issued.",scam
"Your account is locked. Buy a $100 Apple gift card and send the code to release it.",scam
"Walmart: your order #452-2618074 has shipped. Arriving Friday.",safe
"Zelle: you received $100.00 from Sarah Miller. It's in your account.",safe
"Your account is locked. Buy a $200 Steam gift card and send the code to release it.",scam
"Toll notice: you have an unpaid balance of $3.20. Pay now to avoid a late fee: ezpass-billing.xyz",scam
"Hi Dad, running 15 minutes late for the movie, see you soon!",safe
"School closed tomorrow due to snow. All after-school activities canceled.",safe
"Microsoft support: viruses were detected on your computer. Install TeamViewer so our technician can fix it.",scam
"US Bank Fraud: did you authorize a $1,299 charge? Reply NO or call 347-555-0717 to dispute.",scam
"Your electric bill is $74.10, due April 2. Pay in the app or by mail.",safe
"Uber: your driver Miguel is arriving in a blue Civic, plate XJK-2214.",safe
"Your water bill is $203.55, due March 15. Pay in the app or by mail.",safe
"Send me the 6 digit code you just received to verify your identity.",scam
"Microsoft support: viruses were detected on your computer. Install AnyDesk so our technician can fix it.",scam
"Jury duty: report Monday 8:30am, room 210.",safe
"Toll notice: you have an unpaid balance of $1.50. Pay now to avoid a late fee: ezpass-billing.top",scam
"Apple: a new device signed in. If this was you, no action is needed.",safe
"Amazon: your order #371-998047 has shipped. Arriving Friday.",safe
"Coinbase support: to restore access, confirm your wallet seed phrase with our agent.",scam
"Thanks for your payment of $500 to the electric company. Payment received.",safe
"Your tax refund of $750 is pending. Verify your bank details to claim it: refund-gov.xyz",scam
"TD Bank: you spent $43.12 at Target. Not you? Check your app.",safe
"Netflix: your payment failed. Update your billing at walmart-account-verify.top to avoid cancellation.",scam
"Thanks for your payment of $1,450 to Verizon. Payment received.",safe
"Your electric bill is $203.55, due March 15. Pay in the app or by mail.",safe
"Your table for 2 at Panera is confirmed for 7:00 tonight.",safe
"Adorable kittens ready today, just send the $200 shipping deposit via Zelle.",scam
"This is your grandson. My phone broke, this is my new number. Can you send $750 by Cash App? I'll explain later.",scam
"IRS: your SSN is suspended. Call immediately or a warrant will be issued.",scam
"Hulu: your payment failed. Update your billing at apple-account-verify.top to avoid cancellation.",scam
"Your account is locked. Buy a $500 Apple gift card and send the code to release it.",scam
"This is your grandson. My phone broke, this is my new number. Can you send $2,000 by Venmo? I'll explain later.",scam
"Your tax refund of $1,450 is pending. Verify your bank details to claim it: refund-gov.top",scam
"School closed tomorrow due to ice. All after-school activities canceled.",safe
"Spotify: a new device signed in. If this was you, no action is needed.",safe
"Walmart: your order #458-4934977 has shipped. Arriving Tuesday.",safe
"Your table for 2 at the Italian place is confirmed for 6:30 tonight.",safe
"Your tax refund of $750 is pending. Verify your bank details to claim it: refund-gov.xyz",scam
"Your account is locked. Buy a $500 Steam gift card and send the code to release it.",scam
"USPS: your parcel is on hold. A $1.50 fee is due. Confirm here: usps-redeliver-fee.co/1380",scam
"DHL: your parcel is on hold. A $1.95 fee is due. Confirm here: dhl-redeliver-fee.co/3201",scam
"We can recover the money you lost to a scam. Our firm needs a $500 retainer first.",scam
"I have a video of you from your webcam. Pay $1200 in bitcoin within 48 hours or I send it to all your contacts.",scam
"Zelle: you received $50.00 from John Reed. It's in your account.",safe
"Your Chase verification code is 892813. Do not share this code with anyone.",safe
"Work from home, earn $500 a day, no experience. Apply now on WhatsApp.",scam
"Sorry, wrong number! But you seem nice. Where are you from? I'm Amy, nice to meet a new friend :)",scam
"Zelle: you received $25.00 from John Reed. It's in your account.",safe
"Microsoft support: viruses were detected on your computer. Install AnyDesk so our technician can fix it.",scam
"Scan this QR code to receive your $100 PayPal refund instantly.",scam
"PNC Fraud: did you authorize a $2,000 charge? Reply NO or call 917-555-0863 to dispute.",scam
"Sorry, wrong number! But you seem nice. Where are you from? I'm Grace, nice to meet a new friend :)",scam
"PayPal: your order #674-7591059 has shipped. Arriving Thursday.",safe
"Disney+: your order #771-6176014 has shipped. Arriving Tuesday.",safe
"the post office: your package was delivered at 4:47pm. Track more at fedex.com.",safe
"Your prescription is ready for pickup at Rite Aid pharmacy #415.",safe
"Your electric bill is $118.22, due April 2. Pay in the app or by mail.",safe
"Your Capital One verification code is 351836. Do not share this code with anyone.",safe
"I have a video of you from your webcam. Pay $800 in bitcoin within 48 hours or I send it to all your contacts.",scam
"Spotify: a new device signed in. If this was you, no action is needed.",safe
"DHL: your parcel is on hold. A $1.50 fee is due. Confirm here: fedex-redeliver-fee.co/1983",scam
"This is the US Bank fraud department. To keep your money safe we need to move it to a secure account right away.",scam
"Reminder: your appointment with Dr. Patel is Tuesday at 9am. Reply C to confirm.",safe
"Your gas bill is $118.22, due April 2. Pay in the app or by mail.",safe
"Your TD Bank verification code is 963839. Do not share this code with anyone.",safe
"Hi Dad, running 15 minutes late for dinner, see you soon!",safe
"Binance support: to restore access, confirm your wallet seed phrase with our agent.",scam
"Your PNC verification code is 351122. Do not share this code with anyone.",safe
"Work from home, earn $800 a day, no experience. Apply now on WhatsApp.",scam
"Microsoft support: viruses were detected on your computer. Install TeamViewer so our technician can fix it.",scam
"Hi dear, I feel such a connection with you. Let me teach you about crypto trading, I made $500 last week. Message me on WhatsApp.",scam
"This is the PNC fraud department. To keep your money safe we need to move it to a secure account right away.",scam
"Thanks for your payment of $450 to Verizon. Payment received.",safe
"PNC: you spent $18.90 at Shell. Not you? Check your app.",safe
"Toll notice: you have an unpaid balance of $0.99. Pay now to avoid a late fee: ezpass-billing.icu",scam
"Chase: you spent $18.90 at Shell. Not you? Check your app.",safe
"Send me the 6 digit code you just received to verify your identity.",scam
"Your Southwest flight is on time departing gate B12.",safe
"Grandma it's me, I'm in the hospital and need $1,299 for a lawyer. Please don't tell mom or dad.",scam
"Your prescription is ready for pickup at Walgreens pharmacy #806.",safe
"Grandma it's me, I'm in the hospital and need $750 for a lawyer. Please don't tell mom or dad.",scam
"Hi Grandpa, running 10 minutes late for the movie, see you soon!",safe
"Citi Fraud: did you authorize a $1,450 charge? Reply NO or call 917-555-0120 to dispute.",scam
"Reminder from Trinity Church: choir practice Wednesday 7pm.",safe
"Citi: you spent $18.90 at Kroger. Not you? Check your app.",safe
"Adorable kittens ready today, just send the $200 shipping deposit via Cash App.",scam
"Apple: your payment failed. Update your billing at spotify-account-verify.xyz to avoid cancellation.",scam
"Your account is locked. Buy a $500 Google Play gift card and send the code to release it.",scam
"This is the PNC fraud department. To keep your money safe we need to move it to a secure account right away.",scam
"Zelle: you received $50.00 from Sarah Miller. It's in your account.",safe
"This is the Bank of America fraud department. To keep your money safe we need to move it to a secure account right away.",scam
